file,protein,n,ap,bp,pcc,E5top,E5bot,E15top,E15bot,E5dGtop,E5dGbot,rng,sd,skew
abl_anchor_w0.3_s42_e14,1GYZ,1125,0.8615510278174748,1.254072832042802,0.7289910339845108,0.7174744897959184,10.762117346938776,1.7538265306122445,4.145408163265305,0.7174744897959184,10.762117346938776,4.0189151999999995,0.7281762796064888,-1.9755675703087507
abl_anchor_w0.3_s42_e14,1PSE,1217,0.8150835726656509,1.7099376183308408,0.679526914252836,3.3805555555555555,9.1275,1.9105180533751962,4.372147083685546,3.3805555555555555,9.1275,4.0530602,0.67378847597833,-0.7923823444224543
abl_anchor_w0.3_s42_e14,1QKH,1271,0.2241719238262865,0.6534700287666034,0.5154907733930045,1.9213907785336355,7.365331317712269,2.112465373961219,3.2391135734072027,1.9213907785336355,7.365331317712269,5.5054612,0.8075788683769668,-1.4101909567445807
abl_anchor_w0.3_s42_e14,1QP2,1082,0.4875510281690787,1.4247661397111513,0.5872359080894474,4.081618655692729,8.53429355281207,2.721079103795153,3.7105624142661173,4.081618655692729,8.53429355281207,5.8662274,1.1245787749153269,0.4071901200519476
abl_anchor_w0.3_s42_e14,1TUC,1043,0.7206389818268325,2.227901836333012,0.7708133751157591,5.400147928994082,11.571745562130175,2.8286489151873764,4.414406640368178,5.400147928994082,11.571745562130175,5.5934835,1.084883705233091,-0.7020659082342081
abl_anchor_w0.3_s42_e14,1W4H,801,1.271737319080968,-2.1437371140044634,0.8234894928552772,7.008750000000001,13.516875000000002,2.55875,4.895,7.008750000000001,13.516875000000002,4.29553036,0.7976547381379945,-0.9520094359537546
abl_anchor_w0.3_s42_e14,2BTH,800,0.40400655102700817,0.21923676537202716,0.7926706488830506,5.999999999999999,10.999999999999998,1.9444444444444444,4.722222222222222,5.999999999999999,10.999999999999998,4.4037615,0.7355566176507007,-1.0682977534470404
abl_anchor_w0.3_s42_e14,2K1B,933,1.0238124796867596,0.8373027090206097,0.8045262116707085,9.25945179584121,9.25945179584121,3.6217069509859736,5.070389731380363,9.25945179584121,9.25945179584121,4.5836005,0.8477585745785166,-0.32628550450017907
abl_anchor_w0.3_s42_e14,2K28,919,0.8548161396423818,1.2088619424359335,0.8009628526486036,7.261234567901235,9.530370370370372,3.035750439554585,4.30880707549683,7.261234567901235,9.530370370370372,4.8943686,0.9592636589323447,-0.7621123255926278
abl_anchor_w0.3_s42_e14,2K5H,1124,0.6571614450010628,2.7928274627122245,0.85034297712845,3.225765306122449,11.46938775510204,2.469104308390023,5.057681405895693,3.225765306122449,11.46938775510204,5.978976100000001,1.5841861077486645,-1.6785513512535803
